1,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
2,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
3,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
4,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
5,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
6,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
7,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
8,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
9,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
10,date,11.0000,21.0000,31.0000,41.0000,51.0000,61.0000,12.0000,22.0000,32.0000,42.0000,52.0000,62.0000,60.0000
